epoch,total_loss,mse_loss,l1_loss,grad_loss,ssim_loss,psnr,lr
1,0.006273711868554528,0.002910108357766538,0.017494922916998622,0.003386758027743781,0.06494296091246955,41.90506759618909,0.0001
2,0.0021798804361395016,0.00010128549722877552,0.005420224664043053,0.0017768427699120365,0.013582340618660394,48.99096107847125,0.0001
3,0.0013760335285893234,5.5438270347319475e-05,0.004047137465627747,0.0009195122094443377,0.007052813530015456,51.775391788412534,0.0001
4,0.0010944951969209798,4.463221889550546e-05,0.0036047768524673303,0.0006138194302171087,0.004994760746614142,53.345053927573936,0.0001
5,0.0009500752459040086,3.4126141584126034e-05,0.0031648349655792117,0.0005226343603068358,0.0031627947394172566,54.524858853679014,0.0001
6,0.0008750378710901714,3.315584761897759e-05,0.0028906015740329167,0.0004868503453035373,0.0025497286517011985,55.48363450291598,0.0001
7,0.0008005947688456217,2.6000251602857592e-05,0.0026346185732647426,0.00044809940179003433,0.0018854195401759024,56.22873757048708,0.0001
8,0.0007502024438650551,2.7000133682926507e-05,0.0025021048843234892,0.000404224500804753,0.001593073915830246,57.00480399346509,0.0001
9,0.0007213552949435325,1.977876142775976e-05,0.0024150329855881863,0.00038670237366633556,0.0012809432666516776,57.201548959642764,0.0001
10,0.0006690987161860903,1.7696217312210115e-05,0.0022260616844512696,0.00036225438902284,0.0012172001047738644,57.90088970794864,0.0001
11,0.0006419095657836806,2.482333170201745e-05,0.002123394129754888,0.000346361812245101,0.0011096739142190347,58.53366465734171,0.0001
12,0.0006152943785584285,1.948296918707467e-05,0.0020412550184901192,0.00033069501617247286,0.0008936016649981698,58.73697252465639,0.0001
13,0.0006390577582725655,2.6837884753335662e-05,0.0021799668304834994,0.0003186170297511666,0.0008754510340568574,58.66380115471995,0.0001
14,0.0006049871864898705,2.1412282775420888e-05,0.0020653543910630107,0.0003021287762516067,0.0008406860967528138,59.064919679335375,0.0001
15,0.0005579687481355904,1.470894418935298e-05,0.0018911077038883378,0.00028482147456750366,0.000755046240581206,59.73930246100514,0.0001
16,0.0005599942717038175,1.506921197701665e-05,0.0019048247500875733,0.0002829746045386663,0.0006772458103236236,59.50437790049772,0.0001
17,0.0005646308650409992,1.436231160978314e-05,0.001957298861187155,0.0002723867276638913,0.0006561504046708371,59.59501359875946,0.0001
18,0.0005316957247652681,1.6355720341348567e-05,0.001832666706150485,0.00025804970614240404,0.000585751146049101,60.15661962004125,0.0001
19,0.0005144345247324055,1.3474759486781252e-05,0.001780628203347078,0.00024821853082965646,0.0005383574760095751,60.416967986286714,0.0001
20,0.0005123024835619617,1.1597120636978437e-05,0.0018000492838127684,0.00023902809219321597,0.0005893334175058774,60.38004059717708,0.0001
21,0.0004965164923114571,1.385942319106086e-05,0.001735209585116172,0.00023337928712898872,0.0005284547387517065,60.47183994056026,0.0001
22,0.0004902107409145174,1.408568609278425e-05,0.0017433562909456668,0.00021948836411144298,0.0004736701838805305,60.870434714725974,0.0001
23,0.0004700895806763583,1.0860497390978584e-05,0.001668393746338188,0.00021320903226715017,0.0005022213333436643,61.32147698930792,0.0001
24,0.0004556072005312217,1.2892253819161579e-05,0.0016124626811970303,0.0002068187743838351,0.0004045136446019004,61.48075863220401,0.0001
25,0.000456579034425431,1.31935927889572e-05,0.0016337717323700418,0.00020115791743339172,0.0004325361056899815,61.46278577651572,0.0001
26,0.0004454007115041918,1.0783989894380043e-05,0.0016011030475168355,0.00019525038106655757,0.0003715371893219758,61.79828974153898,0.0001
27,0.0004260370248542131,9.325031011427248e-06,0.0015300513473005593,0.00018817758503864753,0.0003377819515164262,61.8009478149728,0.0001
28,0.0004355157624196181,9.920578440381443e-06,0.0015846904548709063,0.00018621126311225283,0.00037476492133462115,61.83792033987683,0.0001
29,0.0004313220620288121,9.492130919157481e-06,0.0015972228173747225,0.00017522763688292,0.00039929529780602597,61.84482168782187,0.0001
30,0.00041137464763164644,8.89862822501328e-06,0.00152353832421486,0.00016717815835302473,0.0003769126500414273,62.2763271568257,0.0001
