epoch,total_loss,mse_loss,l1_loss,grad_loss,ssim_loss,psnr,lr
32,0.0053643346556106735,0.00012607078142767592,0.005405876783428903,0.012307143655904497,0.06873036448647848,58.020536216630916,0.0001
33,0.005284574400668771,0.00012238426250659834,0.005289171863425872,0.012162896428498266,0.06844657664125513,57.99041711183558,0.0001
34,0.005407379185837453,0.0001231076249819051,0.005366434306312294,0.012494018752382931,0.07022724907277678,58.21906749276314,0.0001
35,0.005077621544726617,0.00011447860508479759,0.005107708075862774,0.011665058245002706,0.0665466326041523,58.54799685447295,0.0001
36,0.005365308954353804,0.0001242451928879953,0.005371948612937195,0.012346753607873052,0.06825040738768196,58.18325239805267,0.0001
37,0.0052521832640450615,0.00011883896771212803,0.0052490650325476736,0.012099759858664641,0.06880657349795333,58.75067456463723,0.0001
38,0.005283036271145465,0.00011903731607018739,0.00527666972556799,0.012174734051364282,0.06762177280404517,59.01756428873312,0.0001
39,0.005267892990575638,0.0001227270419266521,0.00523754992660306,0.01215845662760055,0.06810837671557701,58.62029636531244,0.0001
40,0.005204531239160133,0.00011537164735450692,0.005146445967588897,0.012048161940541723,0.06843334451860056,58.61496671900346,0.0001
41,0.005120440200335361,0.0001168478304004938,0.005101610476733185,0.011810725722938264,0.06619980788084734,59.06638782558043,0.0001
42,0.005326185961643023,0.0001184135671961161,0.005258281106579307,0.012337786614655306,0.06835707230385288,59.395549383549636,0.0001
43,0.005226065964095938,0.00012001611037091413,0.005213028733247893,0.012047168952966252,0.06682434783402103,59.13744767912115,0.0001
44,0.005221993545385885,0.00011748927285711396,0.0051759897748557705,0.012074002307995772,0.06731873718371964,59.19143560802159,0.0001
45,0.005284206503260703,0.00012497689840942314,0.005266371242167952,0.012181013847363887,0.06873724394570059,59.16878442358197,0.0001
46,0.005223132092093692,0.00011776516084128066,0.0051345498097778546,0.012118869578066006,0.06827119836752611,60.00381365381912,0.0001
47,0.005119432371009862,0.00011273522011657689,0.004881689610918511,0.012032770661926753,0.06808863417599643,63.28273587197575,5e-05
48,0.005168146168456599,0.00011227000066640602,0.004919687067271479,0.012157772824116729,0.0691846717782905,62.814647684255185,5e-05
49,0.005079097401882313,0.00011105643708324266,0.004843885516134241,0.011938363229797761,0.06777313363015515,62.9921384783502,5e-05
50,0.005078294188149584,0.00010914780667710229,0.00480526667351769,0.011976849559578482,0.06696142197969607,63.57284500320938,5e-05
