epoch,total_loss,mse_loss,l1_loss,grad_loss,ssim_loss,psnr,lr
1,0.010108256812006585,0.0024484604045922937,0.01649220125776483,0.01393737298436099,0.1245966731657388,43.57486717590408,0.0001
2,0.006591025167824409,0.0002850172956402069,0.00811708954830392,0.013472970419568447,0.07998378695263063,49.25229325554882,0.0001
3,0.006058518112135061,0.00019203323340358081,0.007087222632461635,0.01285179262894344,0.07464777989428642,50.973906059686314,0.0001
4,0.0059230422352204186,0.0001775887381833844,0.006725995481264545,0.012780692870960229,0.07429733166916809,52.34321333026517,0.0001
5,0.005964523089742579,0.00016732505194284552,0.006645447253897146,0.013013195493358944,0.07507814375074744,52.302102130551305,0.0001
6,0.0057008427538545224,0.00015268040009178455,0.006158229966615181,0.012641004604121462,0.07196756996367593,54.41305838329926,0.0001
7,0.005806408641256894,0.0001592360397251858,0.006258860972704861,0.012883518991870778,0.07294788558326466,54.248180671990475,0.0001
8,0.0057512040366225845,0.000145943859403346,0.006094118554636953,0.01288196899439813,0.07279480942292982,54.583571812949494,0.0001
9,0.00583400638533285,0.0001482824957124974,0.006171840519656325,0.013077136649199338,0.07324211042558441,54.26282864180658,0.0001
10,0.005732542871441547,0.000143925543559744,0.005963852984254845,0.012952721782906679,0.07182430400584341,55.16890062192869,0.0001
11,0.0056922607193847395,0.00014171879550767754,0.005897361160169021,0.012887882077141921,0.07109386743267049,55.141462102548545,0.0001
12,0.0056504128265771215,0.00014162984032030905,0.005953549019228922,0.012692319843711993,0.07093001942116615,54.77991751105166,0.0001
13,0.005482437976679466,0.0001340126335784047,0.005700274439097484,0.012395834585485772,0.06964456351131221,55.27469791063524,0.0001
14,0.00554746193612591,0.00013852585047433347,0.005813524438300374,0.012493313505873765,0.06813165522116611,55.552374289614704,0.0001
15,0.005627225802178509,0.0001332954445867682,0.00574602184217647,0.012833669500538509,0.07149578888573588,55.67238611769528,0.0001
16,0.00543944395396702,0.00014208821862448178,0.0057033856037316585,0.012238642565374585,0.06855893104965605,55.89996741291848,0.0001
17,0.005626146932944903,0.00013657921140252792,0.005807842934839573,0.012763873796587381,0.07182939787318426,55.42724561985944,0.0001
18,0.005397139899238755,0.00013176285515068627,0.00554649989731588,0.012268281897453699,0.0691223943170021,56.8208141456093,0.0001
19,0.005473780936928597,0.00015649958284911917,0.00560643444444795,0.012430835169883539,0.06961924916449569,57.154653002849095,0.0001
20,0.005423442926055531,0.00013869563132296755,0.005562653331528281,0.012330561550653102,0.06857457699638461,57.23900493348981,0.0001
21,0.0053876241003963515,0.0001347641806612105,0.00553836437415157,0.012240696324912141,0.06885771774009827,56.66484226619458,0.0001
22,0.005345471146636282,0.00012865867645045313,0.005536297750750964,0.012110393784779443,0.06749890033544703,56.79778912063024,0.0001
23,0.005438104188063244,0.00013193950255195193,0.005553893407623946,0.0123972005144896,0.06918094994033526,57.15141601602571,0.0001
24,0.00542703510972583,0.00012570821833492754,0.005463801484393116,0.012458703868737974,0.0700894236432368,57.258639729166894,0.0001
25,0.005178053199891474,0.00011804840189600418,0.005225665025922899,0.011877113736570232,0.06622855263431351,58.32239211051258,0.0001
26,0.0053214299927321,0.00012945809827545203,0.005454419448390581,0.012111068999713006,0.06768912953049351,56.967480776395576,0.0001
27,0.005364888620650709,0.0001320975158265008,0.005450188001822607,0.012256643330313318,0.06818292905248578,57.29208925921054,0.0001
28,0.005369824806619363,0.00012480927759459968,0.005459654852610765,0.012273348085752093,0.06874276994733336,57.2143245357283,0.0001
29,0.005411950035443079,0.00012681239781438806,0.00543173510350498,0.012439014445158455,0.06988265233853864,57.28983082048743,0.0001
30,0.005320907216371052,0.00012149459005393833,0.005383833476903238,0.012190530419809784,0.06854998818034261,57.779395278499635,0.0001
31,0.0053309540737264795,0.00012487190569956255,0.005371939510936863,0.012231410811941588,0.06953059041412486,57.9066903481455,0.0001
